Summary,url,Title,Post_Details,Bike Type,Brand,Trim/Edition,Model,Year,Mileage,Seller,Capacity,Price
"Atv beach bike 201435,000 kmKegalle, MotorbikesRs 440,00043 days",https://ikman.lk/en/ad/atv-beach-bike-2014-for-sale-kegalle,Atv beach bike 2014,"Posted on 30 Jan 9:02 am, Kegalle City, Kegalle",Quadricycles,Other brand,Atv beach bike,Other model,2014,"35,000 km",lakee,150 cc,"440,000"
"Bajaj Pulsar 150 palsar 201450,737 kmAnuradhapura, MotorbikesRs 370,00035 days",https://ikman.lk/en/ad/bajaj-pulsar-150-palsar-2014-for-sale-anuradhapura-1,Bajaj Pulsar 150 palsar 2014,"Posted on 11 Mar 1:58 pm, Kekirawa, Anuradhapura",Motorbikes,Bajaj,palsar 150,Pulsar 150,2014,"50,737 km",Sasila Ishan,150 cc,"370,000"
"Beach Buggy 20055,000 kmColombo, MotorbikesRs 210,00051 days",https://ikman.lk/en/ad/beach-buggy-2005-for-sale-colombo,Beach Buggy 2005,"Posted on 21 Jan 9:45 pm, Talawatugoda, Colombo",Quadricycles,Other brand,Beach Buggy,Other model,2005,"5,000 km",vinuka automart,125 cc,"210,000"
"Electra Alpha Vino 2019600 kmColombo, MotorbikesRs 105,00043 days",https://ikman.lk/en/ad/electra-alfa-vino-2019-for-sale-colombo,Electra Alpha Vino 2019,"Posted on 22 Feb 2:26 pm, Moratuwa, Colombo",E-bikes,Electra,Vino,Alpha,2019,600 km,Jeewantha Basnayaka,49 cc,"105,000"
"Hero Maestro Edge 201818,500 kmMEMBERKalutara, MotorbikesRs 80,00024 days",https://ikman.lk/en/ad/hero-maestro-edge-2018-for-sale-kalutara-44,Hero Maestro Edge 2018,"Posted on 07 Mar 2:08 pm, Bandaragama, Kalutara",Scooters,Hero,2018,Maestro Edge,2018,"18,500 km",Anjalee Motors,110 cc,"80,000"
"Honda CBR 650R 202012,700 kmGalle, MotorbikesRs 889,00032 days",https://ikman.lk/en/ad/honda-cbr-650r-2020-for-sale-galle,Honda CBR 650R 2020,"Posted on 10 Feb 10:00 am, Galle City, Galle",Motorbikes,Honda,650R,CBR,2020,"12,700 km",Anne Filishiya Ross thuring,650 cc,"889,000"
"Honda CBR 650R 202015,000 kmColombo, MotorbikesRs 2,500,00057 days",https://ikman.lk/en/ad/honda-cbr-cbr650r-2020-for-sale-colombo,Honda CBR 650R 2020,"Posted on 18 Jan 12:56 pm, Maharagama, Colombo",Motorbikes,Honda,CBR 650R,CBR,2020,"15,000 km",Dream Bikes,650 cc,"2,500,000"
"Honda CRF 250R 200810,000 kmGampaha, MotorbikesRs 1,400,00045 days",https://ikman.lk/en/ad/honda-crf-250r-2008-for-sale-gampaha-4,Honda CRF 250R 2008,"Posted on 30 Jan 4:29 pm, Ja-Ela, Gampaha",Motorbikes,Honda,CRF 250R,CRF,2008,"10,000 km",shehan,250 cc,"1,400,000"
"Honda Dio 201025,000 kmKurunegala, MotorbikesRs 125,00024 days",https://ikman.lk/en/ad/honda-dio-2010-for-sale-kurunegala-103,Honda Dio 2010,"Posted on 18 Feb 12:07 pm, Kurunegala City, Kurunegala",Scooters,Honda,,Dio,2010,"25,000 km",Julatha Bandara,48 cc,"125,000"
"Honda Hornet CH 125 200217,200 kmKegalle, MotorbikesRs 780,00047 days",https://ikman.lk/en/ad/honda-hornet-ch-125-unregistered-2002-for-sale-kegalle-1,Honda Hornet CH 125 2002,"Posted on 26 Jan 2:32 pm, Kegalle City, Kegalle",Motorbikes,Honda,CH 125,Hornet,2002,"17,200 km",Shehan,250 cc,"780,000"
"Honda Magna Beget . 201523,400 kmColombo, MotorbikesRs 425,00040 days",https://ikman.lk/en/ad/honda-magna-beget-unregistered-2015-for-sale-colombo,Honda Magna Beget . 2015,"Posted on 02 Feb 8:34 am, Colombo 8, Colombo",Motorbikes,Honda,Beget .,Magna,2015,"23,400 km",thakshana,250 cc,"425,000"
"Honda VTR Vt250 1984185,000 kmColombo, MotorbikesRs 260,00035 days",https://ikman.lk/en/ad/honda-vtr-vt250-1984-for-sale-colombo,Honda VTR Vt250 1984,"Posted on 07 Feb 7:24 pm, Piliyandala, Colombo",Motorbikes,Honda,Vt250,VTR,1984,"185,000 km",Dileka Madujeewa,250 cc,"260,000"
"Kawasaki Balius . 201814,568 kmMEMBERKurunegala, MotorbikesRs 320,00053 days",https://ikman.lk/en/ad/kawasaki-balius-2018-for-sale-kurunegala,Kawasaki Balius . 2018,"Posted on 28 Feb 12:02 pm, Kurunegala City, Kurunegala",Motorbikes,Kawasaki,.,Balius,2018,"14,568 km",Ranjith Japanese Motorcycles,250 cc,"320,000"
"Kawasaki D Tracker Super Moto 200620,000 kmColombo, MotorbikesRs 875,00047 days",https://ikman.lk/en/ad/kawasaki-d-tracker-super-moto-2006-for-sale-colombo,Kawasaki D Tracker Super Moto 2006,"Posted on 03 Feb 7:20 pm, Kotte, Colombo",Motorbikes,Kawasaki,Super Moto,D Tracker,2006,"20,000 km",T.M.Japan (Pvt) Ltd,250 cc,"875,000"
"Yamaha Gear 50 Cargo Efi 201812,580 kmMEMBERKurunegala, MotorbikesRs 195,00046 days",https://ikman.lk/en/ad/yamaha-gear-50-cargo-efi-2018-for-sale-kurunegala,Yamaha Gear 50 Cargo Efi 2018,"Posted on 28 Feb 12:02 pm, Kurunegala City, Kurunegala",Scooters,Yamaha,Gear 50 Cargo Efi,Other Model,2018,"12,580 km",Ranjith Japanese Motorcycles,50 cc,"195,000"
"Aprilia RS 201914,000 kmColombo, MotorbikesRs 365,00024 days",https://ikman.lk/en/ad/aprilia-rs-2019-for-sale-colombo-1,Aprilia RS 2019,"Posted on 26 Feb 9:29 pm, Boralesgamuwa, Colombo",Scooters,Aprilia,2019,RS,2019,"14,000 km",dilshan,125 cc,"365,000"
"Aprilia RS 201936,969 kmMEMBERColombo, MotorbikesRs 445,00027 days",https://ikman.lk/en/ad/aprilia-rs-2019-for-sale-colombo,Aprilia RS 2019,"Posted on 15 Feb 6:11 pm, Boralesgamuwa, Colombo",Scooters,Aprilia,Aprilia,RS,2019,"36,969 km",Ranul Motors,150 cc,"445,000"
"Aprilia SR 125 201834,000 kmKalutara, MotorbikesRs 300,00035 days",https://ikman.lk/en/ad/aprilia-sr-125-2018-for-sale-kalutara,Aprilia SR 125 2018,"Posted on 17 Feb 8:09 am, Panadura, Kalutara",Scooters,Aprilia,125,SR,2018,"34,000 km",punsara saumya,125 cc,"300,000"
"Aprilia SR 150 201911,200 kmMEMBERColombo, MotorbikesRs 420,00034 days",https://ikman.lk/en/ad/aprilia-sr-150-2019-for-sale-colombo-2,Aprilia SR 150 2019,"Posted on 08 Feb 12:02 pm, Boralesgamuwa, Colombo",Scooters,Aprilia,sr 150,SR,2019,"11,200 km",Ranul Motors,150 cc,"420,000"
"Aprilia SR 201910,000 kmKegalle, MotorbikesRs 310,00032 days",https://ikman.lk/en/ad/aprilia-sr-2019-for-sale-kegalle-2,Aprilia SR 2019,"Posted on 01 Mar 12:28 pm, Kegalle City, Kegalle",Scooters,Aprilia,,SR,2019,"10,000 km",Mangala,125 cc,"310,000"
"Aprilia SR 20193,100 kmMEMBERColombo, MotorbikesRs 455,00027 days",https://ikman.lk/en/ad/aprilia-sr-2019-for-sale-colombo-33,Aprilia SR 2019,"Posted on 15 Feb 12:29 am, Boralesgamuwa, Colombo",Scooters,Aprilia,2019,SR,2019,"3,100 km",Ranul Motors,150 cc,"455,000"
"Aprilia SR 201930,000 kmAmpara, MotorbikesRs 350,00058 days",https://ikman.lk/en/ad/aprilia-sr-2019-for-sale-ampara,Aprilia SR 2019,"Posted on 15 Jan 1:10 pm, Kalmunai, Ampara",Scooters,Aprilia,,SR,2019,"30,000 km",Sihab Aakil,150 cc,"350,000"
"Aprilia SR RS150 20193,636 kmMEMBERColombo, MotorbikesRs 455,00030 days",https://ikman.lk/en/ad/aprilia-sr-rs150-2019-for-sale-colombo-1,Aprilia SR RS150 2019,"Posted on 12 Feb 3:39 pm, Boralesgamuwa, Colombo",Scooters,Aprilia,RS150,SR,2019,"3,636 km",Ranul Motors,150 cc,"455,000"
"Aprilia SR SR150 201819,685 kmGampaha, MotorbikesRs 360,00025 days",https://ikman.lk/en/ad/aprilia-sr-sr150-2018-for-sale-gampaha,Aprilia SR SR150 2018,"Posted on 17 Feb 4:55 pm, Wattala, Gampaha",Scooters,Aprilia,SR150,SR,2018,"19,685 km",Kethees Balasubramaniyam,150 cc,"360,000"
"Aprilia Tuono Gizmo 200421,000 kmGalle, MotorbikesRs 40,00040 days",https://ikman.lk/en/ad/aprilia-tuono-gizmo-2004-for-sale-galle,Aprilia Tuono Gizmo 2004,"Posted on 01 Feb 10:47 pm, Galle City, Galle",Motorbikes,Aprilia,Gizmo,Tuono,2004,"21,000 km",Lahiru Lakshan,49 cc,"40,000"
"ATV Quad bike 2017500 kmColombo, MotorbikesRs 250,000",https://ikman.lk/en/ad/2017-for-sale-colombo-18,ATV Quad bike 2017,"Posted on 11 Mar 7:27 pm, Dehiwala, Colombo",Quadricycles,Other brand,ATV Quad bike,Other model,2017,500 km,Mohamed,110 cc,"250,000"
"B2 India Scooter 201017,000 kmKegalle, MotorbikesRs 115,00032 days",https://ikman.lk/en/ad/b2-india-2010-for-sale-kegalle,B2 India Scooter 2010,"Posted on 10 Feb 12:12 pm, Mawanella, Kegalle",Scooters,Other brand,B2 India Scooter,Other model,2010,"17,000 km",Sajath,125 cc,"115,000"
"Bajaj . 201130,000 kmPolonnaruwa, MotorbikesRs 205,00028 days",https://ikman.lk/en/ad/bajaj-no-2011-for-sale-polonnaruwa,Bajaj . 2011,"Posted on 14 Feb 3:44 pm, Polonnaruwa City, Polonnaruwa",Motorbikes,Bajaj,.,Other Model,2011,"30,000 km",Fazeer Qolisath,150 cc,"205,000"
"Bajaj 1993140,000 kmGalle, MotorbikesRs 170,00043 days",https://ikman.lk/en/ad/bajaj-super-fe-1993-for-sale-galle,Bajaj 1993,"Posted on 30 Jan 12:52 am, Elpitiya, Galle",Scooters,Bajaj,1993,Other Model,1993,"140,000 km",Dumindu Sadaruvan,125 cc,"170,000"
"Bajaj Aspire 200933,000 kmColombo, MotorbikesRs 148,00032 days",https://ikman.lk/en/ad/bajaj-aspire-ct-2009-for-sale-colombo,Bajaj Aspire 2009,"Posted on 10 Feb 1:16 pm, Kesbewa, Colombo",Motorbikes,Bajaj,Bajaj,Aspire,2009,"33,000 km",Thilanga Piris,100 cc,"148,000"
"Bajaj Aspire 201187,000 kmKurunegala, MotorbikesRs 120,00060 days",https://ikman.lk/en/ad/bajaj-aspire-2011-for-sale-kurunegala,Bajaj Aspire 2011,"Posted on 13 Jan 9:31 pm, Kuliyapitiya, Kurunegala",Motorbikes,Bajaj,,Aspire,2011,"87,000 km",Sandun,135 cc,"120,000"
"Bajaj Aspire 201725,000 kmBadulla, MotorbikesRs 260,00052 days",https://ikman.lk/en/ad/bajaj-aspire-2017-for-sale-badulla,Bajaj Aspire 2017,"Posted on 21 Jan 10:45 pm, Mahiyanganaya, Badulla",Motorbikes,Bajaj,,Aspire,2017,"25,000 km",dilshan,100 cc,"260,000"
"Bajaj Avenger . 201812,000 kmMEMBERColombo, MotorbikesRs 430,00060 days",https://ikman.lk/en/ad/bajaj-avenger-2018-for-sale-colombo-46,Bajaj Avenger . 2018,"Posted on 13 Jan 8:45 am, Piliyandala, Colombo",Motorbikes,Bajaj,.,Avenger,2018,"12,000 km",Piliyandala Scooty Mart,150 cc,"430,000"
"Bajaj Avenger 150 street 201728,000 kmAnuradhapura, MotorbikesRs 465,00053 days",https://ikman.lk/en/ad/bajaj-avenger-150-street-2017-for-sale-anuradhapura,Bajaj Avenger 150 street 2017,"Posted on 25 Jan 7:33 pm, Medawachchiya, Anuradhapura",Motorbikes,Bajaj,150 street,Avenger,2017,"28,000 km",ahmedyash,150 cc,"465,000"
"Bajaj Avenger 180CC 201739,500 kmRatnapura, MotorbikesRs 630,00035 days",https://ikman.lk/en/ad/bajaj-avenger-180cc-2017-for-sale-ratnapura,Bajaj Avenger 180CC 2017,"Posted on 07 Feb 5:15 pm, Ratnapura City, Ratnapura",Motorbikes,Bajaj,180CC,Avenger,2017,"39,500 km",Thushara Ganegodage,180 cc,"630,000"
"Bajaj Avenger 200539,000 kmColombo, MotorbikesRs 245,00029 days",https://ikman.lk/en/ad/bajaj-avenger-2005-for-sale-colombo-1,Bajaj Avenger 2005,"Posted on 19 Feb 8:30 am, Rajagiriya, Colombo",Motorbikes,Bajaj,,Avenger,2005,"39,000 km",kelumlive,180 cc,"245,000"
"Bajaj Avenger 200595,000 kmKurunegala, MotorbikesRs 290,00035 days",https://ikman.lk/en/ad/bajaj-avenger-2005-for-sale-kurunegala,Bajaj Avenger 2005,"Posted on 21 Feb 12:28 pm, Bingiriya, Kurunegala",Motorbikes,Bajaj,2005,Avenger,2005,"95,000 km",shehan perera,180 cc,"290,000"
"Bajaj Avenger 201640,000 kmRatnapura, MotorbikesRs 430,00030 days",https://ikman.lk/en/ad/bajaj-avenger-2016-for-sale-ratnapura,Bajaj Avenger 2016,"Posted on 01 Mar 11:10 am, Ratnapura City, Ratnapura",Motorbikes,Bajaj,,Avenger,2016,"40,000 km",Nelan Dayarathne,150 cc,"430,000"
"Bajaj Avenger 201648,667 kmMEMBERPolonnaruwa, MotorbikesRs 495,00032 days",https://ikman.lk/en/ad/bajaj-avenger-2016-for-sale-polonnaruwa,Bajaj Avenger 2016,"Posted on 23 Feb 3:31 pm, Polonnaruwa City, Polonnaruwa",Motorbikes,Bajaj,Avenger,Avenger,2016,"48,667 km",PLS Motors & Credit (Pvt) Ltd,150 cc,"495,000"
